"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas","UK_daily_average_OAT_[degrees_C]"
"2013-12-22T23:30:00",4.851079969162737e-05,2.3121138435036347e-05,7.518894152940961e-05,3.0046517212637414e-05,5.400498855038606e-05,5.400498855038606e-05,4.274684748835129e-05,5.088910239796731e-05,7.7
"2013-12-23T00:00:00",5.21366190609094e-05,2.421362665359637e-05,7.44657330857464e-05,2.8975908691357128e-05,4.5637967813800506e-05,4.5637967813800506e-05,1.6521668186469767e-05,1.9668653292710343e-05,7.8
"2013-12-23T00:30:00",5.224100658259627e-05,2.421362665359637e-05,7.397947718276875e-05,2.8975908691357128e-05,9.116058203101095e-05,9.116058203101095e-05,1.6521668186469767e-05,1.9668653292710343e-05,7.8
"2013-12-23T01:00:00",5.293171893758749e-05,2.40629480287308e-05,7.510550704369848e-05,2.945459394632285e-05,9.254276205737705e-05,9.254276205737705e-05,1.672724187730081e-05,1.9913383426123663e-05,7.8
"2013-12-23T01:30:00",5.216944035524656e-05,2.40629480287308e-05,7.426952566775598e-05,2.8925681900262752e-05,9.14842141203892e-05,9.14842141203892e-05,1.672724187730081e-05,1.9913383426123663e-05,7.8
"2013-12-23T02:00:00",5.725641227500617e-05,2.61091140993467e-05,7.669737129056676e-05,2.9516431978398104e-05,8.901784736201289e-05,8.901784736201289e-05,1.707982076771496e-05,2.033312089784166e-05,7.8
"2013-12-23T02:30:00",5.670345424231604e-05,2.5536140182490166e-05,7.6562855037577e-05,2.9516431978398104e-05,8.67446178004009e-05,8.67446178004009e-05,1.707982076771496e-05,2.033312089784166e-05,7.8
"2013-12-23T03:00:00",6.4470722298777e-05,2.7051958756233546e-05,8.217870228662805e-05,3.0622676746278644e-05,8.276693289506705e-05,8.276693289506705e-05,1.7425970726780415e-05,2.07452035828414e-05,7.8
"2013-12-23T03:30:00",6.344629647878703e-05,2.7051958756233546e-05,8.21257252347201e-05,3.0622676746278644e-05,7.602316749412717e-05,7.602316749412717e-05,1.7425970726780415e-05,2.07452035828414e-05,7.8
"2013-12-23T04:00:00",6.759990715847657e-05,2.7424221331478712e-05,8.310688821073615e-05,3.063058309046108e-05,7.542254410206033e-05,7.542254410206033e-05,2.9230852448680732e-05,3.4798633656227764e-05,7.8
"2013-12-23T04:30:00",7.302498107129726e-05,2.933042308000435e-05,8.322929842057704e-05,3.063058309046108e-05,7.542254410206033e-05,7.542254410206033e-05,3.8476204731219156e-05,4.5805003610941156e-05,7.8
"2013-12-23T05:00:00",8.574216609223863e-05,3.255777284331355e-05,8.383118067328328e-05,3.071909498075111e-05,7.573355261669352e-05,7.573355261669352e-05,7.632183218082405e-05,9.085932066704788e-05,7.8
"2013-12-23T05:30:00",8.874763292576637e-05,3.4089159326964143e-05,8.820659560396432e-05,3.204352477528487e-05,7.593529202782706e-05,7.593529202782706e-05,9.905986960019355e-05,0.00011792841299206284,7.8
"2013-12-23T06:00:00",0.0001128615630619752,4.125140497279059e-05,9.171067615574645e-05,3.2785371350081374e-05,7.879611577388813e-05,7.879611577388813e-05,0.00012899749187068803,0.0001535684397492376,7.8
"2013-12-23T06:30:00",0.00011866491760326438,4.361432835495959e-05,9.94475846897873e-05,3.481901175733528e-05,7.879611577388813e-05,7.879611577388813e-05,0.00012899749187068803,0.0001535684397492376,7.8
"2013-12-23T07:00:00",0.00011939203550857995,4.389122524310023e-05,0.0001043231589398411,3.6594690638566135e-05,7.715046320936653e-05,7.715046320936653e-05,0.00013442224407467866,0.0001600264746139004,7.8
"2013-12-23T07:30:00",0.00011887461581110701,4.374940759840197e-05,0.0001041942586040371,3.6594690638566135e-05,7.230076553912254e-05,7.230076553912254e-05,0.00012243340085134116,0.00014575405340439928,7.8
"2013-12-23T08:00:00",0.0001150976702220654,4.3209912380883165e-05,0.00010194649299569202,3.6412575466066736e-05,6.42506175096487e-05,6.42506175096487e-05,9.832193248704939e-05,0.00011704992361701965,7.8
"2013-12-23T08:30:00",0.00011184669059550419,4.17707794010897e-05,0.000100173492690155,3.548725694674838e-05,6.326493662267126e-05,6.326493662267126e-05,9.268036951260355e-05,0.00011033377612468083,7.8
"2013-12-23T09:00:00",0.00010165859156746199,3.845337039795455e-05,9.926191673281672e-05,3.5328766392248334e-05,5.892550412526632e-05,5.892550412526632e-05,7.405975052954096e-05,8.816637026822866e-05,7.8
